"","Position","Track.Name","Artist","Streams","URL","country"
"98",98,"Te Vi","Piso 21",39584,"https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd","Argentina"
"99",99,"El efecto - Remix","DJ Alex",39419,"https://open.spotify.com/track/4LRYdLim72NkkWlBBgKOZG","Argentina"
"100",100,"Me Vas a Extrañar - En Vivo","Damas Gratis",39317,"https://open.spotify.com/track/3CACzG9I3AoKUKA3ODE5zW","Argentina"
"101",101,"Disfruto","Ke Personajes",38847,"https://open.spotify.com/track/1v4ggzkdNysd77L7oJ6GmU","Argentina"
"102",102,"OKUPA","WOS",38351,"https://open.spotify.com/track/25NPeIjHjQGvyp4D52Tji2","Argentina"
"103",103,"Like Boss - Remix (feat. Duki, Bizarrap, Akapellah, Polima Westcoast, Moonkey, Zanto, Santoz)","Frijo",38338,"https://open.spotify.com/track/2H2pkZBzWDX2TzGW7sp014","Argentina"
"104",104,"Soy Sabalero","Los Palmeras",38088,"https://open.spotify.com/track/6MIulZ9FG6Td02EpvFC5ZL","Argentina"
"105",105,"Porno","Rich Music LTD",37951,"https://open.spotify.com/track/34ZngZgo8xicbt1EE8Ob8Z","Argentina"
"106",106,"Verte Ir","DJ Luian",37930,"https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR","Argentina"
"107",107,"Diavla","Chris Viz",37843,"https://open.spotify.com/track/1KfrcxnOLyDhd3p4hGrhVe","Argentina"
"108",108,"LUZ DELITO","WOS",37768,"https://open.spotify.com/track/13VEtVCYfLTVsq5STs3SlW","Argentina"
"109",109,"La Playax","Fer Palacio",37021,"https://open.spotify.com/track/40fOB5r0wfKzcKZU0SkrAI","Argentina"
"110",110,"Me Gusta Lo Simple","Duki",36915,"https://open.spotify.com/track/3VJSv1RoYiCY4ECGyDO7ry","Argentina"
"111",111,"La Playa","Myke Towers",36761,"https://open.spotify.com/track/0jeS8PyyIRAG0A3t5DtL71","Argentina"
"112",112,"TERRAZA","WOS",36508,"https://open.spotify.com/track/6cLWKCBNawunqBHmyzdG7v","Argentina"
"113",113,"HP","Maluma",36226,"https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3","Argentina"
"114",114,"Cuando Te Besé","Becky G",35864,"https://open.spotify.com/track/74wEiOpnvCe1tCTWKGSYta","Argentina"
"115",115,"Solo Pienso En Ti (feat. De La Ghetto & Justin Quiles)","Paulo Londra",35830,"https://open.spotify.com/track/3H9GDhVVTlmFQSmpt51qiP","Argentina"
"116",116,"Fucking Diablo","Nicki Nicole",35500,"https://open.spotify.com/track/2cn7dsEVaIHslGDMWOPlW6","Argentina"
"117",117,"B11 (feat. Myke Towers)","Rvssian",35487,"https://open.spotify.com/track/4o1DxRjMCHDwBiOKv88rOl","Argentina"
"118",118,"Spaghetti del Rock","Divididos",35368,"https://open.spotify.com/track/6rg1MBZqggsQ5olFGTw0rr","Argentina"
"119",119,"Diva","Nicki Nicole",35272,"https://open.spotify.com/track/6kyp35INigDcwXHTKCHoAk","Argentina"
"120",120,"Falling","Trevor Daniel",35202,"https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa","Argentina"
"121",121,"Kiddo Toto: Bzrp Music Sessions, Vol. 11","Bizarrap",35142,"https://open.spotify.com/track/7jJV6hcqjD76gbu7TG67k8","Argentina"
"122",122,"Aleman: Bzrp Music Sessions, Vol. 15","Bizarrap",35105,"https://open.spotify.com/track/7xRWmHZ2wt3zDgM5mAL0JU","Argentina"
"123",123,"Tumbando el Club (feat. C.R.O., Obiewanshot, Ysy A, Cazzu, Khea, Lucho SSJ, Coqeéin Montana, Marcianos Crew & Duki) - Remix","Neo Pistea",34645,"https://open.spotify.com/track/0OWcpVA83HI8Pb5DybDuoX","Argentina"
"124",124,"Trátame Suavemente - Remasterizado 2007","Soda Stereo",34600,"https://open.spotify.com/track/65DBZofI0b79kfHTcWWDuU","Argentina"
"125",125,"Secreto","Anuel AA",34493,"https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0","Argentina"
"126",126,"Ella Quiere Beber - Remix","Anuel AA",34312,"https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw","Argentina"
"127",127,"Pasos Al Costado","Turf",34179,"https://open.spotify.com/track/7upAH0ezzsThyvr33YKn4u","Argentina"
"128",128,"Como Así (feat. CNCO)","Lali",34137,"https://open.spotify.com/track/5hoIOyMDt2cQx6DU0UyiBj","Argentina"
"129",129,"Piensan","Myke Towers",34114,"https://open.spotify.com/track/0i9oiUkWOgvtnjkr0fa3XN","Argentina"
"130",130,"DANI: Bzrp Freestyle Sessions, Vol. 7","Bizarrap",34104,"https://open.spotify.com/track/1jKq6jcjPAd2awwuYiPswp","Argentina"
"131",131,"After House","C.R.O",34016,"https://open.spotify.com/track/37b2LyzvKZduFJd8GmJhJW","Argentina"
"132",132,"Seguir Viviendo Sin Tu Amor","Luis Alberto Spinetta",34014,"https://open.spotify.com/track/2qBirMakpTdz9ymxrZEyzg","Argentina"
"133",133,"No Se Me Quita (feat. Ricky Martin)","Maluma",33775,"https://open.spotify.com/track/1GBLO0NFODuL31A5fgw0uR","Argentina"
"134",134,"Ya No Tiene Novio","Sebastian Yatra",33434,"https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu","Argentina"
"135",135,"Cristina (feat. Shelow Shaq)","Maffio",33248,"https://open.spotify.com/track/2egI1hFZDAYrkCgtepoore","Argentina"
"136",136,"Creo","Callejeros",33145,"https://open.spotify.com/track/5Bi9Cq5oVFy1OtUgecbegZ","Argentina"
"137",137,"Gan-Ga - Remix","Bryant Myers",33062,"https://open.spotify.com/track/27qRmG3zOWPvMYUkpPdQ1g","Argentina"
"138",138,"El Efecto - Remix","Rauw Alejandro",33035,"https://open.spotify.com/track/74j34STf8L6uADnTN69ohv","Argentina"
"139",139,"Mirenla","Ciro y los Persas",32773,"https://open.spotify.com/track/027NtsXW0vpDFhzxsJKmTL","Argentina"
"140",140,"McFly","CA7RIEL",32747,"https://open.spotify.com/track/28Qkq4zVzDQpNgIb4r00lu","Argentina"
"141",141,"Circles","Post Malone",32731,"https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb","Argentina"
"142",142,"Crimen","Gustavo Cerati",32724,"https://open.spotify.com/track/3oqWr0jDWNXxWufNogGREp","Argentina"
"143",143,"Suéltate El Pelo","TINI",32434,"https://open.spotify.com/track/7dK9ncfHtROhbYCtElBqfU","Argentina"
"144",144,"Rebota - Remix","Guaynaa",32253,"https://open.spotify.com/track/3dWpRjCmaHbroNahuSeX11","Argentina"
"145",145,"Juntos a la Par","Pappo",32169,"https://open.spotify.com/track/1Ig4pCPanhzXl7C86MmBUc","Argentina"
"146",146,"Amanece","Anuel AA",32109,"https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH","Argentina"
"147",147,"Soltera Vá","Los Nota Lokos",31894,"https://open.spotify.com/track/0ueg5iK0wyh5EgHvtIz4qL","Argentina"
"148",148,"No Te Creas Tan Importante - En Vivo","Damas Gratis",31720,"https://open.spotify.com/track/3trowLiYwwOoiwapLISNyk","Argentina"
"149",149,"Lights Up","Harry Styles",31592,"https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb","Argentina"
"150",150,"Cristina Remix","DJ Alex",31573,"https://open.spotify.com/track/0ri6HvRxDmSXudAxwG3FiM","Argentina"
"151",151,"Zafar","La Vela Puerca",31543,"https://open.spotify.com/track/1wIUWGdTdhVk5gIPd0ULxX","Argentina"
"152",152,"BOTA FUEGO","Mau y Ricky",31534,"https://open.spotify.com/track/6Y6YC93R1r0CISm5iC4j27","Argentina"
"153",153,"Tutu - Remix","Camilo",31386,"https://open.spotify.com/track/302I7g0l3jmAbzFu9WBCmu","Argentina"
"154",154,"Perreito","Mariah",31272,"https://open.spotify.com/track/5LsUdPeqmKVGlPJre2sIRt","Argentina"
"155",155,"everything i wanted","Billie Eilish",31045,"https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ","Argentina"
"156",156,"A$AP","Dillom",30928,"https://open.spotify.com/track/6TesHoNPZGdcVjllhAuKJh","Argentina"
"157",157,"La Cobra","j mena",30878,"https://open.spotify.com/track/1tyJADhbLubvWFsRmmojMj","Argentina"
"158",158,"Party (feat. A Boogie Wit da Hoodie)","Paulo Londra",30656,"https://open.spotify.com/track/5PDoWY5Av2Ba3rWIdY9Ij0","Argentina"
"159",159,"Créeme","KAROL G",30630,"https://open.spotify.com/track/4EKZsrsCKyqr64FBHLc0DU","Argentina"
"160",160,"Consejo de Amor","TINI",30582,"https://open.spotify.com/track/3za3hxbolwmy9AeUpWzuRE","Argentina"
"161",161,"Nunca quise","Intoxicados",30479,"https://open.spotify.com/track/0ZAJ660VP57lLK4U7NlGOy","Argentina"
"162",162,"Amor (Ft. Mon Laferte) - MTV Unplugged","Los Auténticos Decadentes",30418,"https://open.spotify.com/track/1QjfU3jkGInap7Vm9lVJIQ","Argentina"
"163",163,"Shallow","Lady Gaga",30364,"https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B","Argentina"
"164",164,"Tan Solo","Los Piojos",30348,"https://open.spotify.com/track/6vNaGz1KH44XJ9zRyCE81I","Argentina"
"165",165,"Música","DJ Luian",30231,"https://open.spotify.com/track/4xvTPuwHaXoDM3p0QcY7bH","Argentina"
"166",166,"Bonita","Juanes",30063,"https://open.spotify.com/track/3ewwb5s3WHYqEdkBnwKlTS","Argentina"
"167",167,"Tik Tok Remix","DJ Alex",29901,"https://open.spotify.com/track/39Eg7ODMsB9Uu55Q0UJQzV","Argentina"
"168",168,"A Las Nueve","No Te Va Gustar",29892,"https://open.spotify.com/track/68cko9zdsKwaxgb98sF36S","Argentina"
"169",169,"I Don't Care (with Justin Bieber)","Ed Sheeran",29766,"https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9","Argentina"
"170",170,"Cara de Diablo","Midel",29703,"https://open.spotify.com/track/4bdYtEW0Zb859oQWYjeVmC","Argentina"
"171",171,"Si Supieras","Daddy Yankee",29554,"https://open.spotify.com/track/7MRU4vOkywuhZ9kbFiPuiu","Argentina"
"172",172,"Un Poco de Amor Francés","Patricio Rey y sus Redonditos de Ricota",29546,"https://open.spotify.com/track/1MRhIdcloOD0uiiG3ybXGX","Argentina"
"173",173,"FULL ICE (prod. ORODEMBOW)","Ysy A",29519,"https://open.spotify.com/track/2wK7D7i9bfVt3uLjFsZSEU","Argentina"
"174",174,"Lose You To Love Me","Selena Gomez",29504,"https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5","Argentina"
"175",175,"Que Locura Fue Enamorarme de Ti","Kevo DJ",29493,"https://open.spotify.com/track/1wbUzKEYirlGoH5vkuaiN3","Argentina"
"176",176,"Bohemian Rhapsody - 2011 Mix","Queen",29376,"https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv","Argentina"
"177",177,"Mi Error - Remix","Eladio Carrion",29370,"https://open.spotify.com/track/0lbhKycRyqkOMKZ6thzfU4","Argentina"
"178",178,"Shorty","Nicki Nicole",29343,"https://open.spotify.com/track/3Fekr3gkWmX25J2m4aVNaC","Argentina"
"179",179,"Mírame - Remix","Nio Garcia",29326,"https://open.spotify.com/track/53uKGbcMjEc2gIWbfmvpdS","Argentina"
"180",180,"Nada","Cazzu",29109,"https://open.spotify.com/track/7DOh0tBGnyMt6C5OO7o8Yq","Argentina"
"181",181,"La Mejor Versión de Mi - Remix","Natti Natasha",29072,"https://open.spotify.com/track/2dy3TKVDEbIeWxeIb8JWqZ","Argentina"
"182",182,"Quiero Volver","TINI",29048,"https://open.spotify.com/track/5NrIX1ozc9LGt19ISgPDIY","Argentina"
"183",183,"No Puedo","Paulo Londra",28754,"https://open.spotify.com/track/6MbSMSXrSlvsyHf4kcaLQi","Argentina"
"184",184,"Personalmente","Las Pelotas",28728,"https://open.spotify.com/track/7q7XFO9av9VpNJSXKJwJxD","Argentina"
"185",185,"Sin Culpa (feat. DrefQuila)","Duki",28708,"https://open.spotify.com/track/3dLiBBKbeUIhzGNeuo5JGS","Argentina"
"186",186,"Shape of You","Ed Sheeran",28690,"https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3","Argentina"
"187",187,"Cereza","Fuego",28554,"https://open.spotify.com/track/668JOhJXCQeUkAsjfREN78","Argentina"
"188",188,"Ahora","Oscu",28548,"https://open.spotify.com/track/5uHzp7pDABZ7fmAWgrJdbF","Argentina"
"189",189,"Chica Bombastic","Wisin & Yandel",28203,"https://open.spotify.com/track/0PabDDMMzwmn9cfJsfes7W","Argentina"
"190",190,"Mesita: Bzrp Music Sessions, Vol. 12","Bizarrap",27981,"https://open.spotify.com/track/3HxP2g1l2jc9r1QgrA3dmf","Argentina"
"191",191,"Una Nueva Noche Fría","Callejeros",27845,"https://open.spotify.com/track/39KmBOGkD1ztCbVeo2uspA","Argentina"
"192",192,"ANDRÓMEDA","WOS",27730,"https://open.spotify.com/track/4Pa73QAWSryyKavXNyVbUA","Argentina"
"193",193,"Un Ángel para Tu Soledad","Patricio Rey y sus Redonditos de Ricota",27704,"https://open.spotify.com/track/7fbuABzGfagLWkI54bxL6c","Argentina"
"194",194,"Believer","Imagine Dragons",27635,"https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP","Argentina"
"195",195,"Hitboy","Duki",27595,"https://open.spotify.com/track/51dqvo5QYezL3rjL6qjksA","Argentina"
"196",196,"Mil Horas","Los Abuelos De La Nada",27531,"https://open.spotify.com/track/6sBgH04G1edCBg7eC8rIdl","Argentina"
"197",197,"OUKE","CA7RIEL",27401,"https://open.spotify.com/track/02vK8PPOQPDcbxNe4YHdme","Argentina"
"198",198,"Tan lejos","No Te Va Gustar",27216,"https://open.spotify.com/track/44m9PAUZYeOEGeaTYh6NAl","Argentina"
"199",199,"Easy - Remix","Jhay Cortez",27207,"https://open.spotify.com/track/0Cn8NxJZz7zUlsaA3rXoIU","Argentina"
"200",200,"Amigos Con Derechos","Reik",27200,"https://open.spotify.com/track/4yVO0wOhXsZC1RuPgHP524","Argentina"
"201",1,"Roller","Apache 207",34430,"https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M","Austria"
"202",2,"Dance Monkey","Tones and I",31915,"https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku","Austria"
"203",3,"All I Want for Christmas Is You","Mariah Carey",30145,"https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn","Austria"
"204",4,"Last Christmas","Wham!",27908,"https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78","Austria"
"205",5,"KEIN SCHLAF","Nimo",27323,"https://open.spotify.com/track/6416zJN0FGPmh1Ph4BH2h3","Austria"
"206",6,"Der Bratan bleibt der gleiche","Capital Bra",24254,"https://open.spotify.com/track/2M39v73rNJmAXUXIW0oagP","Austria"
